"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Richard Jefferson",3000,"DEN@DAL 12/04/2017 08:30PM ET",3.679,"DEN"
"SF","Dorian Finney-Smith",3000,"DEN@DAL 12/04/2017 08:30PM ET",5.875,"DAL"
"SG","Antonius Cleveland",3000,"DEN@DAL 12/04/2017 08:30PM ET",3.350,"DAL"
"PF","Darrell Arthur",3000,"DEN@DAL 12/04/2017 08:30PM ET",2.750,"DEN"
"PF/C","Johnathan Motley",3000,"DEN@DAL 12/04/2017 08:30PM ET",0,"DAL"
"SG/SF","Torrey Craig",3000,"DEN@DAL 12/04/2017 08:30PM ET",1.250,"DEN"
"PF","Tyler Lydon",3000,"DEN@DAL 12/04/2017 08:30PM ET",0.000,"DEN"
"PG","Monte Morris",3000,"DEN@DAL 12/04/2017 08:30PM ET",0,"DEN"
"PF/C","Josh McRoberts",3000,"DEN@DAL 12/04/2017 08:30PM ET",0,"DAL"
"SG/SF","Treveon Graham",3000,"ORL@CHA 12/04/2017 07:00PM ET",10.271,"CHA"
"PF/C","Johnny O'Bryant III",3000,"ORL@CHA 12/04/2017 07:00PM ET",9.406,"CHA"
"PG/SG","Julyan Stone",3000,"ORL@CHA 12/04/2017 07:00PM ET",9.625,"CHA"
"SG/SF","Wes Iwundu",3000,"ORL@CHA 12/04/2017 07:00PM ET",3.375,"ORL"
"PF/C","Khem Birch",3000,"ORL@CHA 12/04/2017 07:00PM ET",2.667,"ORL"
"PF/C","Mangok Mathiang",3000,"ORL@CHA 12/04/2017 07:00PM ET",2.500,"CHA"
"SG/SF","Jamel Artis",3000,"ORL@CHA 12/04/2017 07:00PM ET",0,"ORL"
"PG","Marcus Paige",3000,"ORL@CHA 12/04/2017 07:00PM ET",2.500,"CHA"
"PF","Adreian Payne",3000,"ORL@CHA 12/04/2017 07:00PM ET",0,"ORL"
"SF/PF","Justin Anderson",3000,"PHO@PHI 12/04/2017 07:00PM ET",9.875,"PHI"
"C","Jahlil Okafor",3000,"PHO@PHI 12/04/2017 07:00PM ET",12.625,"PHI"
"PG/SF","Nik Stauskas",3000,"PHO@PHI 12/04/2017 07:00PM ET",2.750,"PHI"
"SG/SF","Furkan Korkmaz",3000,"PHO@PHI 12/04/2017 07:00PM ET",2.250,"PHI"
"SF","Derrick Jones Jr.",3000,"PHO@PHI 12/04/2017 07:00PM ET",4.417,"PHO"
"PF","Alec Peters",3000,"PHO@PHI 12/04/2017 07:00PM ET",5.625,"PHO"
"PG","Jacob Pullen",3000,"PHO@PHI 12/04/2017 07:00PM ET",0.000,"PHI"
"PF","James Michael McAdoo",3000,"PHO@PHI 12/04/2017 07:00PM ET",5.000,"PHI"
"SG/SF","Davon Reed",3000,"PHO@PHI 12/04/2017 07:00PM ET",0,"PHO"
"PG/SG","Brandon Knight",3000,"PHO@PHI 12/04/2017 07:00PM ET",0,"PHO"
"C","JaVale McGee",3000,"GS@NO 12/04/2017 08:00PM ET",8.613,"GS"
"SF/PF","Kevon Looney",3000,"GS@NO 12/04/2017 08:00PM ET",9.984,"GS"
"PG","Quinn Cook",3000,"GS@NO 12/04/2017 08:00PM ET",5.167,"GS"
"C","Omer Asik",3000,"GS@NO 12/04/2017 08:00PM ET",9.250,"NO"
"SF","Jalen Jones",3000,"GS@NO 12/04/2017 08:00PM ET",2.667,"NO"
